Factory,State/Province,Region,Route (State),Total_Shipments,Avg_Lead_Time,Lead_Time_StdDev,Delay_Frequency_Pct,Total_Sales,Total_Units,Avg_Efficiency_Score
Secret Factory,New Mexico,Pacific,Secret Factory -> New Mexico,2,906.0,2.83,0.0,12.5,10,95.4
Secret Factory,Nebraska,Interior,Secret Factory -> Nebraska,1,906.0,0.0,0.0,2.5,2,97.3
The Other Factory,Louisiana,Gulf,The Other Factory -> Louisiana,1,907.0,0.0,0.0,9.75,3,95.0
The Other Factory,Connecticut,Atlantic,The Other Factory -> Connecticut,2,907.5,2.12,0.0,9.75,3,91.6
Secret Factory,Mississippi,Gulf,Secret Factory -> Mississippi,1,908.0,0.0,0.0,80.0,4,91.3
Wicked Choccy's,Maine,Atlantic,Wicked Choccy's -> Maine,2,908.0,0.0,0.0,55.25,15,91.3
Secret Factory,Louisiana,Gulf,Secret Factory -> Louisiana,2,908.5,0.71,0.0,11.25,9,88.6
Secret Factory,Delaware,Atlantic,Secret Factory -> Delaware,1,909.0,0.0,0.0,60.0,3,85.8
Secret Factory,South Carolina,Gulf,Secret Factory -> South Carolina,1,909.0,0.0,0.0,6.25,5,85.8
Secret Factory,Minnesota,Interior,Secret Factory -> Minnesota,1,909.0,0.0,0.0,5.0,4,85.8
Sugar Shack,Delaware,Atlantic,Sugar Shack -> Delaware,1,910.0,0.0,0.0,4.5,3,82.3
The Other Factory,Florida,Gulf,The Other Factory -> Florida,3,1029.33,212.75,0.0,39.0,12,77.2
Sugar Shack,Florida,Gulf,Sugar Shack -> Florida,3,1031.0,211.31,0.0,36.89,15,70.3
Secret Factory,Virginia,Gulf,Secret Factory -> Virginia,5,1053.4,200.02,0.0,93.75,15,79.4
The Other Factory,New Hampshire,Atlantic,The Other Factory -> New Hampshire,2,1088.5,258.09,0.0,35.75,11,85.0
Sugar Shack,Illinois,Interior,Sugar Shack -> Illinois,2,1089.0,257.39,0.0,12.0,5,83.9
The Other Factory,Oregon,Pacific,The Other Factory -> Oregon,2,1089.0,258.8,0.0,26.0,8,82.4
Secret Factory,Nevada,Pacific,Secret Factory -> Nevada,2,1091.0,261.63,0.0,202.5,12,66.0
Secret Factory,Arizona,Pacific,Secret Factory -> Arizona,5,1127.4,327.53,20.0,640.0,32,68.7
The Other Factory,Massachusetts,Atlantic,The Other Factory -> Massachusetts,3,1150.67,211.02,0.0,32.5,10,73.8
Wicked Choccy's,South Dakota,Interior,Wicked Choccy's -> South Dakota,3,1152.0,422.62,33.3,33.75,9,63.9
The Other Factory,Virginia,Gulf,The Other Factory -> Virginia,4,1180.5,181.67,0.0,55.25,17,74.1
